m,n,k,total branches,total taken,total fallthru,total bits,accuracy,budget
0,1,0,13718897,7124679,6667197,1,58.6,1
0,1,1,13673758,7104228,6661575,2,75.2,2
1,1,0,13700547,7117840,6665033,2,58.6,2
0,2,0,13661990,7093278,6665010,2,70.1,2
0,1,2,13536236,7029105,6646043,4,76,4
1,1,1,13566213,7042641,6650753,4,75.3,4
2,1,0,13764085,7151558,6674442,4,77,4
0,2,1,13511287,7011805,6649747,4,78.2,4
1,2,0,13681240,7104931,6662695,4,70.1,4
0,1,3,13305841,6882260,6626101,8,82,8
1,1,2,13538008,7021763,6654133,8,76,8
2,1,1,13916437,7233753,6682684,8,75.6,8
3,1,0,13666867,7104604,6662351,8,74.6,8
0,2,2,13622993,7066440,6664126,8,82.3,8
1,2,1,13599214,7056016,6655005,8,78.2,8
2,2,0,13548813,7029742,6658467,8,77.7,8
0,1,4,13787294,7163923,6671574,16,87.4,16
1,1,3,13755332,7149213,6671259,16,82,16
2,1,2,13638850,7073634,6657908,16,77.7,16
3,1,1,13404507,6968053,6644498,16,77,16
4,1,0,13434570,6984314,6647973,16,76.6,16
0,2,3,13711688,7119879,6668181,16,88.5,16
1,2,2,13915243,7233235,6682438,16,82.2,16
2,2,1,13662258,7092907,6660336,16,80.4,16
3,2,0,13758040,7150186,6672422,16,79.5,16
0,1,5,13610922,7060262,6648610,32,88,32
1,1,4,13467255,6981708,6640421,32,87.2,32
2,1,3,13644245,7074821,6655779,32,84,32
3,1,2,13596543,7062948,6657298,32,82.8,32
4,1,1,13741364,7144900,6673266,32,81.3,32
5,1,0,13704555,7132493,6664657,32,79.4,32
0,2,4,13672555,7100408,6663319,32,91.7,32
1,2,3,13452391,6961929,6639351,32,88.5,32
2,2,2,13578471,7050694,6652546,32,85.8,32
3,2,1,13667158,7097062,6666456,32,83.6,32
4,2,0,13782606,7169632,6675195,32,82.7,32
0,1,6,13781134,7162444,6670371,64,89.5,64
1,1,5,13675157,7098801,6663951,64,88,64
2,1,4,13518453,7002556,6644340,64,87.7,64
3,1,3,13580502,7055936,6655128,64,85.9,64
4,1,2,13609719,7067099,6653988,64,84.7,64
5,1,1,13582014,7063059,6655734,64,83.5,64
6,1,0,13916291,7233684,6682608,64,82.4,64
0,2,5,13527505,7010024,6641250,64,92.2,64
1,2,4,13692991,7111450,6664581,64,91.8,64
2,2,3,13846587,7197632,6676193,64,90.2,64
3,2,2,13589256,7048894,6653369,64,88.7,64
4,2,1,13916176,7233614,6682562,64,87.7,64
5,2,0,13727744,7132966,6667326,64,86.3,64
0,1,7,13720491,7127764,6662421,128,90,128
1,1,6,13674627,7106144,6662701,128,89.4,128
2,1,5,13645521,7082996,6653122,128,88.9,128
3,1,4,13664662,7091767,6654716,128,88.7,128
4,1,3,13707825,7121115,6665712,128,86.8,128
5,1,2,13585049,7057444,6657041,128,86.9,128
6,1,1,13875538,7214239,6677775,128,85.5,128
7,1,0,13505514,7032552,6652617,128,84.2,128
0,2,6,13664051,7107642,6662138,128,93.3,128
1,2,5,13656103,7088902,6657145,128,92.2,128
2,2,4,13702736,7114604,6665153,128,92.3,128
3,2,3,13657239,7091657,6663843,128,91,128
4,2,2,13783116,7169534,6671295,128,90.1,128
5,2,1,13552552,7056538,6655725,128,89.2,128
6,2,0,13577704,7052361,6653779,128,87.7,128
0,1,8,13631147,7078117,6652304,256,90.3,256
1,1,7,13634275,7081871,6654480,256,90,256
2,1,6,13669049,7101664,6659693,256,90.8,256
3,1,5,13640488,7081560,6661003,256,89.9,256
4,1,4,13450219,6979587,6638502,256,89.5,256
5,1,3,13577435,7041423,6647395,256,89.3,256
6,1,2,13621660,7078890,6653548,256,88.1,256
7,1,1,13539009,7021972,6646646,256,86.1,256
8,1,0,13510859,7014342,6648025,256,86.4,256
0,2,7,13536672,7017335,6641005,256,93.9,256
1,2,6,13563609,7035224,6655285,256,93.2,256
2,2,5,13411759,6963974,6629307,256,93.1,256
3,2,4,13710466,7119191,6663599,256,93.1,256
4,2,3,13545417,7025067,6645789,256,91.5,256
5,2,2,13741571,7144434,6667325,256,91.6,256
6,2,1,13912375,7230894,6682549,256,90.4,256
7,2,0,13580858,7065272,6654284,256,89.2,256
0,1,9,13605296,7059311,6644077,512,90.5,512
1,1,8,13682810,7101113,6656345,512,90.3,512
2,1,7,13916294,7233688,6682606,512,91.2,512
3,1,6,13884023,7217002,6679901,512,91,512
4,1,5,13491657,7014835,6644925,512,90.9,512
5,1,4,13480807,6994661,6640038,512,90.7,512
6,1,3,13502034,7013565,6645877,512,90.2,512
7,1,2,13568158,7050229,6652628,512,88.9,512
8,1,1,13610783,7072609,6657991,512,88.1,512
9,1,0,13916253,7233662,6682591,512,88.3,512
0,2,8,13640871,7077501,6648403,512,94.2,512
1,2,7,13691692,7116568,6662460,512,93.9,512
2,2,6,13643000,7075030,6652890,512,94.2,512
3,2,5,13730103,7127623,6663960,512,93.8,512
4,2,4,13710777,7116021,6663356,512,93.6,512
5,2,3,13769216,7154478,6668646,512,93.5,512
6,2,2,13676058,7109347,6664635,512,92.4,512
7,2,1,13911709,7231295,6682469,512,91.1,512
8,2,0,13819489,7182702,6674045,512,91.2,512
